item,description,primary_machine,runs,scorable_runs,units_made,scorable_units,machine_hrs,direct_labor_hrs,direct_labor_usd,expected_hrs,actual_hrs_scorable,efficiency_pct,standard_looks_suspect,overrun_hrs,overrun_usd,actual_units_per_operator_hr,standard_units_per_operator_hr,actual_units_per_machine_hr
CLBOXAPG,Teeccino Chocolate Lovers APG Box,Assembly,2,2,60,60,1.3,2.4,61.76,2.1,2.4,86.9,,0.3,8.07,25.32,29.12,47.62
43370F,Dandelion Blueberry Vanilla Dual Language 10 cnt TB,Maisa 1,1,1,363,363,5.1,15.2,397.15,15.0,15.2,98.2,,0.3,7.32,23.82,24.27,71.46
85013,DO NOT MAKE ORG Reishi Eleuthero 10OZ Bag 3PK  - G,Assembly,2,2,96,96,1.7,2.2,58.63,2.0,2.2,87.9,,0.3,7.1,42.67,48.54,56.47
43222,ORG Dandelion Caramel Nut Tea Bag Demo Tray - A,Assembly,1,1,6,6,0.4,0.4,11.47,0.2,0.4,46.8,,0.2,6.1,13.64,29.12,13.64
20061,ORG Hazelnut 300G Dual Language Bag - 6Ct Case - GA,WeighRight,2,2,300,300,4.2,12.6,327.57,12.4,12.6,98.4,,0.2,5.39,23.87,24.27,71.6
43342,ORG Dandelion Coconut Tea Bag Demo Tray - A,Assembly,1,1,6,6,0.4,0.4,10.68,0.2,0.4,50.3,,0.2,5.32,14.63,29.12,14.63
45022,Chaga Ashwaganda TB Demo Tray,Assembly,2,2,10,10,0.5,0.5,14.07,0.3,0.5,63.6,,0.2,5.12,18.52,29.12,18.52
46012,ORG Dark Chocolate Tea Bag Demo Tray,Assembly,1,1,6,6,0.4,0.4,9.9,0.2,0.4,54.2,,0.2,4.53,15.79,29.12,15.79
45052,Turkey Tail Astragalus TB Demo Tray - G,Assembly,2,2,10,10,0.5,0.5,13.03,0.3,0.5,68.7,,0.2,4.08,20.0,29.12,20.0
42041,Snickerdoodle 25CT Tea Bag - GA,Maisa 1,2,2,1335,1335,6.2,23.1,600.94,22.9,23.1,99.4,,0.1,3.6,57.89,58.24,213.94
83116,Dandelion Dark Roast 500g APG Bag,WeighRight,1,1,360,360,1.2,3.8,97.72,3.7,3.8,98.9,,0.0,1.09,96.0,97.09,288.0
40060L,Org Hazelnut 10 Ct Tea Bag Loose - GA,AMS,2,2,512,512,1.8,3.5,92.25,3.5,3.5,99.4,,0.0,0.59,144.63,145.56,289.27
63010,ORG Dandelion Vanilla Nut 5 Lb Bag - A,WeighRight,1,1,12,12,0.1,0.4,9.38,0.4,0.4,114.5,,-0.1,-1.36,33.33,29.12,100.0
45070,ORG Miraculous Mushrooms A&P 10Ct/6Pk Tea Bag,Maisa 1,11,9,2143,2067,25.0,85.1,2217.97,85.2,85.1,100.1,,-0.1,-1.85,24.29,24.27,85.62
30011,Instant Mocha 100g Bag / 6 Count Case - G,AMS,3,3,226,226,4.8,14.2,371.35,14.4,14.2,101.0,,-0.1,-3.57,15.86,15.71,46.6
TB507,ORG Miraculous Mushroom A&P Loose Tea Bag,Maisa 2+3,2,2,4200,4200,1.5,2.7,71.4,2.9,2.7,105.8,,-0.2,-4.12,1532.85,1449.28,2763.16
85050,ORG Turkey Tail Astragalus 10 Oz Bag/6 Count Case - G,WeighRight,2,2,140,140,3.2,5.6,146.2,5.8,5.6,102.8,,-0.2,-4.15,24.96,24.27,43.61
40060A,AMZN Org Hazelnut 10 Ct Tea Bag Loose - GA,Maisa 1,1,1,1008,1008,2.2,6.8,175.91,6.9,6.8,102.6,,-0.2,-4.56,149.33,145.56,448.0
40013,ORG Vanila Nut 25CT Tea Bag 3PK - GA,Maisa 2+3,2,2,168,168,2.6,8.4,219.95,8.7,8.4,102.5,,-0.2,-5.57,19.91,19.41,65.62
62070,ORG Candy Cane 5 Lb Bag  - G,WeighRight,1,1,31,31,0.3,0.8,21.89,1.1,0.8,126.7,,-0.2,-5.85,36.9,29.12,110.71
50030,Almond Amaretto 30g Trial Size Packet - GA,WeighRight,2,2,1980,1980,4.5,13.4,347.9,13.6,13.4,101.9,,-0.3,-6.58,148.31,145.56,444.94
63310,ORG Dandelion Mocha Mint 5 Lb Bag - A,WeighRight,1,1,24,24,0.2,0.5,12.51,0.8,0.5,171.7,,-0.3,-8.97,50.0,29.12,150.0
80099,ORG Raspberry Mocha 11OZ Bag 3PK - GA,Assembly,1,1,80,80,1.3,1.3,33.88,1.6,1.3,126.8,,-0.3,-9.07,61.54,48.54,61.54
65050,ORG Turkey Tail Astragalus 5 Lb Bag - G,WeighRight,2,2,67,67,0.7,1.9,50.82,2.3,1.9,118.0,,-0.4,-9.14,34.36,29.12,103.08
55010,Reishi Eleuthero 30g Trial Size Packet - G,WeighRight,1,1,165,165,0.2,0.8,19.54,1.1,0.8,151.1,,-0.4,-10.0,220.0,145.56,660.0
TB301,ORG Dandelion Vanilla Nut Tea Bag - A,Maisa 1,1,1,2570,2570,0.5,1.4,35.96,1.8,1.4,128.5,,-0.4,-10.25,1862.32,1449.28,5586.96
43370L,Org Dandelion Blueberry Vanilla 10Ct Tea Bag Loose,Maisa 2+3,1,1,360,360,0.4,2.0,53.42,2.5,2.0,120.6,,-0.4,-11.03,175.61,145.56,878.05
80130A,AMZN Org Maca Chocolate 11OZ Bag/Box of 24 - G,WeighRight,2,2,1008,1008,2.2,6.5,168.09,6.9,6.5,107.4,,-0.5,-12.38,156.28,145.56,468.84
80020A,AMZN Org Chocolate Mint11OZ Bag/Box of 24 - GA,WeighRight,1,1,288,288,0.5,1.5,39.09,2.0,1.5,131.9,,-0.5,-12.47,192.0,145.56,576.0
45011,ORG Reishi Eleuthero 25 Ct Tea Bag - G,Maisa 2+3,3,3,864,864,4.1,14.3,373.96,14.8,14.3,103.4,,-0.5,-12.64,60.21,58.24,212.29
62040,Snickerdoodle 5 LB bag - GA,WeighRight,2,2,44,44,0.3,1.0,26.58,1.5,1.0,148.1,,-0.5,-12.79,43.14,29.12,129.41
63340,ORG Dandelion Coconut 5 Lb Bag - A,WeighRight,2,2,40,40,0.3,0.8,21.89,1.4,0.8,163.5,,-0.5,-13.91,47.62,29.12,142.86
80016,Vanilla Nut 500g APG Bag - GA,WeighRight,1,1,432,432,1.3,3.9,101.63,4.4,3.9,114.1,,-0.5,-14.32,110.77,97.09,332.31
40051,Org English Toffee 25-Ct Tea Bag - GA,Maisa 1,1,1,600,600,3.2,9.8,254.08,10.3,9.8,105.7,,-0.6,-14.39,61.54,58.24,184.62
65010,ORG Reishi Eleuthero 5 Lb Bag - G,WeighRight,3,3,56,56,0.7,1.4,35.7,1.9,1.4,140.4,,-0.6,-14.41,40.88,29.12,81.16
63080,ORG Dandelion Mocha 5 Lb Bag - A,WeighRight,1,1,32,32,0.2,0.5,14.07,1.1,0.5,203.5,,-0.6,-14.56,59.26,29.12,177.78
43341,Dandelion Coconut 25 Count Tea Bag - A,Maisa 1,7,6,3408,3408,19.3,57.9,1509.66,58.5,57.9,101.0,,-0.6,-15.25,58.83,58.24,176.49
60020,ORG Chocolate Mint 5 Lb Bag - GA,WeighRight,1,1,32,32,0.2,0.5,13.29,1.1,0.5,215.5,,-0.6,-15.35,62.75,29.12,188.24
40010A,AMZN Org Vanilla Nut 10 Ct Tea Bag Loose - GA,Maisa 2+3,2,2,540,540,0.8,3.1,81.05,3.7,3.1,119.3,,-0.6,-15.63,173.63,145.56,701.3
10008,"Org Rooibos, 8 Oz Bag",AMS,9,8,4911,4911,13.7,50.0,1302.48,50.6,50.0,101.2,,-0.6,-15.72,98.26,97.09,359.78
83370L,ORG Blueberry Vanilla 10 Oz Bag/Box of 24,WeighRight,1,1,648,648,1.3,3.8,100.07,4.5,3.8,115.9,,-0.6,-15.94,168.75,145.56,506.25
