item,description,primary_machine,scorable_units_2026,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,FY2026_eff_pct
52060,Maple Pecan 30g Trial Size Packet - GA,WeighRight,1861,,,,147.0,,,,147.0
55050,Turkey Tail Astragalus 30g Trial Size Packet - G,WeighRight,1846,163.8,,,139.2,,,,152.6
80130L,Org Maca Chocoate 11oz Bag/Box of 24 - G,WeighRight,1821,151.8,130.9,,,,,197.9,152.2
45071,ORG Miraculous Mushroom A&P 25 Ct Tea Bag,Maisa 2+3,1819,,324.5,110.0,,39.2,,,79.8
55030,Lion's Mane Rhodiola 30g Trial Size Packet - G,WeighRight,1800,,,117.8,,,,,117.8
80070A,AMZN Org Java 11OZ Bag/Box of 24 - GA,WeighRight,1800,,134.0,120.5,,,,,129.2
85010L,ORG Reishi Eleuthero 10 Oz Bag/Box of 24 - G,WeighRight,1784,,97.0,101.6,329.8,,,97.7,111.3
40021,ORG Chocolate Mint 25CT Tea Bag - GA,Maisa 1,1776,103.9,114.5,,44.1,,,,83.8
45051,ORG Turkey Tail Astragalus 25 Ct Tea Bag - G,Maisa 1,1740,,78.7,,198.7,,,,88.7
83340L,ORG Dandelion Coconut 10 Oz Bag/Box of 24 - A,WeighRight,1731,132.9,,135.0,183.2,,,,143.6
80070L,Org Java 11OZ Bag/Box of 24 - GA,WeighRight,1722,,64.1,163.4,,,,238.2,179.2
31007L,ORG Instant Miraculous Mushrooms AP Latte 224g Bag,AMS,1713,66.6,46.6,79.5,,,,,66.9
45050,ORG Turkey Tail Astragalus 10 Ct Tea Bag/6 Count Case - G,Maisa 2+3,1700,,102.9,123.9,90.0,,,,101.6
80010L,Org Vanilla Nut 11OZ Bag/Box of 24 - GA,WeighRight,1682,134.7,4.9,,,,197.9,,79.1
43011,ORG Dandelion Vanilla Nut 25CT Tea Bag - A,Maisa 1,1643,58.3,64.2,,103.9,,,,72.1
40066,Hazelnut Tagless Tea Bag - 50 Ct - GA,AMS,1606,207.5,165.1,,,90.1,,,143.8
40011,ORG Vanila Nut 25CT Tea Bag - GA,Maisa 2+3,1596,,,107.7,51.0,,,,80.2
30005L,ORG GF Dandelion Blend 312g Bag,AMS,1587,37.4,,26.2,,,,,29.7
TGB507,ORG Miraculous Mushroom AP Tea Bag Goody Bag,Assembly,1585,,21.6,11.5,,11.5,,,16.4
10035,Chicory 5 Lb Bag,WeighRight,1584,,59.3,,,58.6,33.4,,51.7
10023,WWB - ORG Elderberries - 1 Lb Bag,WeighRight,1568,52.4,,36.6,32.7,,,,39.3
80050L,ORG English Toffee 11oz Bag/Box of 24 - GA,WeighRight,1557,52.0,,227.0,,,130.3,,117.3
80080,ORG Mocha 11OZ Bag/6 Count Case - GA,WeighRight,1545,124.9,135.6,100.9,92.5,74.7,,131.6,105.6
