item,description,primary_machine,scorable_units,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,eff_pct
85070L,ORG Miraculous Mushrooms A&P 10oz Bag/Box of 24,WeighRight,16179,,,,111.5,114.9,,,164.1,146.6,113.5,150.6,142.7,188.7,125.0,118.0,117.4,120.5,156.4,71.1,122.3
10013,"ORG Hibisicus, 8 Oz Bag",AMS,15932,,,,,,,,,,,154.5,228.2,135.8,51.0,49.1,81.7,102.1,67.4,85.6,79.3
86010L,ORG Dark Chocolate 10 Oz Bag/Box of 24,WeighRight,15862,63.3,,145.5,103.8,,90.1,107.5,157.9,81.5,127.2,120.9,120.1,136.6,118.0,109.4,,,,60.9,104.4
50060,ORG Hazelnut 30g Trial Size Packet - GA,WeighRight,15840,,,,82.2,130.9,,,155.5,160.4,119.5,154.8,,,131.9,168.9,118.6,,,,134.2
40010,ORG Vanilla Nut 10ct/6pk Tea Bag - GA,Maisa 2+3,15736,130.4,108.7,100.0,120.1,,109.0,109.7,,98.8,102.9,104.5,90.9,73.0,98.1,109.3,82.9,,,,104.5
TB080,ORG Mocha Tea Bag - GA,Maisa 1,15500,,107.8,,,,,,,106.2,,,,,,,121.9,,,,113.9
43221,ORG Dandelion Caramel Nut 25CT Tea Bag - A,Maisa 2+3,15173,,132.8,123.0,116.0,89.8,,,,109.4,94.7,,101.0,,87.1,110.4,91.3,,76.5,,99.6
80060L,Org Hazelnut 11OZ Bag/Box of 24 - GA,WeighRight,14972,92.1,,156.5,124.9,118.8,97.8,,122.3,91.6,145.7,,165.6,149.5,132.1,,,,130.4,,126.4
40111,ORG French Roast 25CT Tea Bag - G,Maisa 1,14824,93.6,105.1,,107.6,,,,122.9,74.6,153.8,114.3,84.8,69.8,103.0,105.5,,53.2,70.5,,93.4
TB507,ORG Miraculous Mushroom A&P Loose Tea Bag,Maisa 2+3,14459,,,,218.2,257.2,,,,,,,,,,,,113.1,,46.0,171.4
46010,ORG Dark Chocolate 10 Ct Tea Bag/6 Count Case,Maisa 2+3,13495,107.0,131.6,,102.2,107.0,101.8,103.4,64.6,,69.6,71.1,65.9,93.2,113.5,91.5,143.8,,,,96.9
56010,Dark Chocolate 30g Trial Size Packet,WeighRight,13223,103.9,,101.2,118.9,,82.4,,,,,,,156.5,123.0,143.5,,,,,115.4
48003,WWB ORG Lemon Balm 25ct Tea Bag 2.25g,Maisa 1,12734,105.3,,82.8,81.2,,,,,,,,,,75.5,88.1,,93.3,,,84.3
85020L,ORG Chaga Ashwagandha 10 Oz Bag/Box of 24,WeighRight,12626,100.1,77.2,280.0,115.1,,95.4,,133.4,,120.5,72.9,,116.8,122.1,,,,,105.0,101.5
42071,ORG Candy Cane 25ct Tea Bag - G,Maisa 2+3,12419,,,,,,,60.8,1651.0,,,,,,,,,,,,769.5
40001A,AMZN Labeled Herbal Tea Sampler Box/Variety Pack,Assembly,12331,146.2,,152.5,73.4,120.7,,186.9,,,,,,181.4,250.9,,173.0,271.9,,,151.0
TB211,ORG French Vanilla Tea Bag - G,Maisa 2+3,12000,,,,,,,,,,,146.8,,,,,,,,,146.8
80010L,Org Vanilla Nut 11OZ Bag/Box of 24 - GA,WeighRight,11528,118.4,128.7,150.8,165.5,111.5,,,127.2,160.3,124.6,,138.0,134.7,4.9,,,,197.9,,120.9
50070,ORG Java 30g Trial Size Packet - GA,WeighRight,11442,,,,164.9,129.3,,,164.9,,,,,168.2,,131.4,141.4,,,,142.6
50080,ORG Mocha 30g Trial Size Packet - GA,WeighRight,11378,115.8,105.0,,,,,,137.2,,79.5,177.5,177.9,167.1,,,,148.3,,,130.6
46010L,ORG Dark Chocolate 10 Ct Tea Bag/36 Count Box,Maisa 2+3,11194,197.9,234.7,,,,,,,,65.4,,59.8,140.7,87.6,222.6,138.8,,62.5,89.7,109.0
80010A,AMZN Org Vanilla Nut 11OZ Bag/Box of 24 - GA,WeighRight,11184,,,122.1,,85.9,,162.5,148.5,173.9,151.9,133.6,219.8,131.9,,105.7,,,112.2,,127.3
TB308,ORG Dandelion Mocha Tea Bag - A,Maisa 2+3,11000,,,,,,146.8,,,,,,,,,320.9,,,,,242.5
50010,ORG Vanilla Nut 30g Trial Size Packet - GA,WeighRight,10800,,,,,,,,,168.9,144.6,,,,174.2,159.8,161.5,,,,159.8
TB301,ORG Dandelion Vanilla Nut Tea Bag - A,Maisa 1,10570,172.5,,,,,,135.8,,,,,,,128.5,,,,,,142.4
80040L,ORG Blood Orange 11OZ Bag/Box of 24 - GA,WeighRight,10359,92.0,,,,110.9,,,,,126.4,,,,,117.6,31.7,,,,99.9
53110,Dandelion Dark Roast 30g Trial Size Packet,WeighRight,10305,,,,,,,,,,,149.0,177.9,141.5,,143.0,,,,,147.1
TB201,ORG Pumpkin Spice Tea Bag - GA,Maisa 2+3,10000,,,,,,,154.7,,,,,,,,,,,,,154.7
45021,ORG Chaga Ashwagandha 25 Ct Tea Bag,Maisa 2+3,9786,,,93.7,94.3,,85.7,,,,115.3,,88.3,,100.3,109.6,,,70.9,,91.9
80080L,Org Mocha 11OZ Bag/Box of 24 - GA,WeighRight,9667,112.6,,,103.4,,92.4,,135.3,133.4,237.7,117.5,123.1,203.6,,,,,,126.5,112.6
10039A,AMZN Roasted French Chicory 2 X 1 Lb Bag,WeighRight,9648,,42.1,,,,,,,83.6,43.6,47.2,56.1,66.3,52.4,52.3,,35.2,36.5,,45.5
