date,month,machine,ams_mode,item,description,category,category_source,style_confidence,is_production_run,operators,units_packs,machine_hrs,operator_hrs,units_per_machine_hr,units_per_machine_min,units_per_operator_hr,data_flag
2025-01-20,2025-01,Assembly,,43001,Dandelion Tea Sampler Box - 6 Count Case,Sampler,inferred,,yes,1.0,111,8.5,8.5,13.1,0.218,13.1,
2025-01-20,2025-01,Maisa 1,,43011,ORG Dandelion Vanilla Nut 25CT Tea Bag - A,Tea,governed,high,yes,3.0,120,0.38,1.14,315.8,5.263,105.3,
2025-01-20,2025-01,Maisa 1,,43081,ORG Dandelion Mocha 25CT Tea Bag - A,Tea,governed,high,yes,3.0,408,2.15,6.45,189.8,3.163,63.3,
2025-01-20,2025-01,Maisa 1,,43310,ORG Dandelion Mocha Mint 10CT Tea Bag - A,Tea,inferred,,yes,3.0,19,0.18,0.54,105.6,1.759,35.2,
2025-01-20,2025-01,Maisa 1,,43311,Dandelion Mocha Mint 25 Count Tea Bag - A,Tea,governed,high,yes,3.0,480,2.57,7.71,186.8,3.113,62.3,
2025-01-20,2025-01,Maisa 1,,43340,ORG Dandelion Coconut 10CT Tea Bag - A,Tea,inferred,,yes,3.0,75,1.02,3.06,73.5,1.225,24.5,
2025-01-20,2025-01,Maisa 1,,Clean,Standard Clean,Tea,inferred,,,3.0,0,0.25,0.75,,,,
2025-01-20,2025-01,Maisa 1,,Clean,Standard Clean,Tea,inferred,,,3.0,0,0.4,1.2,,,,
2025-01-20,2025-01,Maisa 1,,Clean,Standard Clean,Tea,inferred,,,3.0,0,1.02,3.06,,,,
2025-01-20,2025-01,Maisa 1,,TB301,ORG Dandelion Vanilla Nut Tea Bag - A,Tea,inferred,,yes,3.0,3000,0.4,1.2,7500.0,125.0,2500.0,
2025-01-20,2025-01,Maisa 2+3,,43110,ORG Dandelion Dark Roast 10ct/6pk Tea Bag,Tea,inferred,,yes,3.0,87,1.04,3.12,83.7,1.394,27.9,
2025-01-20,2025-01,Maisa 2+3,,43110A,AMZN Org Dandelion Dark Roast 10 Ct Tea Bag Loose,Tea,inferred,,yes,3.0,216,0.23,0.69,939.1,15.652,313.0,
2025-01-20,2025-01,Maisa 2+3,,43110F,Dandelion Dark Roast Dual Language 10ct/6pk Tea Bag,Tea,inferred,,yes,3.0,120,2.03,6.09,59.1,0.985,19.7,
2025-01-20,2025-01,Maisa 2+3,,43111,ORG Dandelion Dark Roast 25CT Tea Bag,Tea,governed,high,yes,3.0,1272,6.3,18.9,201.9,3.365,67.3,
2025-01-20,2025-01,Maisa 2+3,,Clean,Standard Clean,Tea,inferred,,,3.0,0,0.2,0.6,,,,
2025-01-20,2025-01,Maisa 2+3,,Clean,Standard Clean,Tea,inferred,,,2.0,0,0.4,0.8,,,,
2025-01-20,2025-01,Maisa 2+3,,TB060,ORG Hazelnut Tea Bag Loose - GA,Tea,inferred,,yes,2.0,16000,4.58,9.16,3493.4,58.224,1746.7,
