item,description,primary_machine,runs,scorable_runs,units_made,scorable_units,machine_hrs,direct_labor_hrs,direct_labor_usd,expected_hrs,actual_hrs_scorable,efficiency_pct,standard_looks_suspect,overrun_hrs,overrun_usd,actual_units_per_operator_hr,standard_units_per_operator_hr,actual_units_per_machine_hr
40111EU,French Roast 25Ct Tea Bag AMZN EU - G,Maisa 2+3,1,1,120,120,0.3,1.8,45.6,2.1,1.8,117.7,,-0.3,-8.09,68.57,58.24,342.86
83010A,AMZN Org Dandelion Vanilla Nut 10OZ Bag/Box of 24 - A,Assembly,1,1,120,120,0.5,0.5,12.77,0.8,0.5,168.2,,-0.3,-8.71,244.9,145.56,244.9
80130A,AMZN Org Maca Chocolate 11OZ Bag/Box of 24 - G,WeighRight,7,7,2482,2482,6.1,16.7,435.46,17.1,16.7,102.0,,-0.3,-8.9,148.53,145.56,407.55
80099,ORG Raspberry Mocha 11OZ Bag 3PK - GA,Assembly,1,1,80,80,1.3,1.3,33.88,1.6,1.3,126.8,,-0.3,-9.07,61.54,48.54,61.54
43361A,AMZN ORG Holiday Egg Nog 25ct Tea Bag - X003ZS6OJL,Maisa 1,1,1,288,288,1.5,4.6,118.83,4.9,4.6,108.4,,-0.4,-10.03,63.16,58.24,189.47
TB603,ORG Mango Lemon Balm Loose Tea Bag - G,Maisa 1,2,1,5000,5000,2.3,3.1,79.74,3.4,3.1,112.7,,-0.4,-10.16,1633.99,1449.28,2155.17
40081,ORG Mocha 25CT Tea Bag - GA,Maisa 2+3,13,13,4326,4326,27.1,73.8,1923.49,74.3,73.8,100.6,,-0.5,-12.18,58.61,58.24,159.81
86030L,ORG Mango Lemon Balm 10 Oz Bag/Box of 24 - G,WeighRight,1,1,192,192,0.3,0.8,21.89,1.3,0.8,157.0,,-0.5,-12.48,228.57,145.56,685.71
62040,Snickerdoodle 5 LB bag - GA,WeighRight,2,2,44,44,0.3,1.0,26.58,1.5,1.0,148.1,,-0.5,-12.79,43.14,29.12,129.41
80120A,DO NOT MAKE AMZN Org Maya Chai 11OZ Bag/Box of 24 - G,Assembly,1,1,120,120,0.3,0.3,8.6,0.8,0.3,249.8,,-0.5,-12.88,363.64,145.56,363.64
80050L,ORG English Toffee 11oz Bag/Box of 24 - GA,WeighRight,6,6,3765,3765,8.5,25.4,660.62,25.9,25.4,102.0,,-0.5,-13.44,148.52,145.56,445.56
43114,ORG Dandelion Dark Roast 10CT Tea Bag 4PK (with DCO/DMM Goody Bag),Maisa 1,4,4,384,384,3.0,10.0,261.38,10.5,10.0,105.2,,-0.5,-13.51,38.29,36.4,128.43
43343,DO NOT MAKE ORG Dandelion Coconut 25CT Tea Bag 3PK - A,Maisa 2+3,1,1,120,120,1.1,5.6,147.24,6.2,5.6,109.4,,-0.5,-13.84,21.24,19.41,106.19
TB110,ORG French Roast Tea Bag Loose - G,Maisa 1,18,18,203550,203550,44.5,132.7,3458.42,133.2,132.7,100.4,,-0.5,-13.93,1533.8,1527.64,4576.21
43111EU,Dandelion Dark Roast 25Ct Tea Bag AMZN EU,Maisa 1,1,1,120,120,0.5,1.5,39.09,2.1,1.5,137.4,,-0.6,-14.6,80.0,58.24,240.0
