date,month,machine,ams_mode,item,description,category,category_source,style_confidence,is_production_run,operators,units_packs,machine_hrs,operator_hrs,units_per_machine_hr,units_per_machine_min,units_per_operator_hr,data_flag
2026-01-05,2026-01,WeighRight,,85070L,ORG Miraculous Mushrooms 10oz Bag/Box of 24,Bag/Other,inferred,,yes,3.0,432,0.783,2.35,551.5,9.191,183.8,
2026-01-05,2026-01,WeighRight,,Clean,Standard Clean,Bag/Other,inferred,,,3.0,0,0.467,1.4,,,,
2026-01-05,2026-01,WeighRight,,Clean,Standard Clean,Bag/Other,inferred,,,3.0,0,0.45,1.35,,,,
2026-01-05,2026-01,WeighRight,,Clean,Standard Clean,Bag/Other,inferred,,,3.0,0,0.083,0.25,,,,
2026-01-05,2026-01,WeighRight,,help handpack instants,,Bag/Other,inferred,,,3.0,0,1.633,4.9,,,,
2026-01-06,2026-01,AMS,handpack,10402A,AMZN- WWB-ORG Rama Tulsi - 8 OZ Bag,Bag/Other,inferred,,yes,1.0,272,4.0,4.0,68.0,1.133,68.0,
2026-01-06,2026-01,AMS,handpack,30003,Instant Chicory - 8 Oz Bag,Instant,inferred,,yes,3.0,343,6.033,18.1,56.9,0.948,19.0,
2026-01-06,2026-01,AMS,handpack,30005L,ORG GF Dandelion Blend 312g Bag,Instant,governed,high,yes,3.0,519,4.85,14.55,107.0,1.784,35.7,
2026-01-06,2026-01,AMS,handpack,30013L,ORG Miraculous Mushrooms Cacao 135g Bag,Bag/Other,inferred,,yes,3.0,270,5.4,16.2,50.0,0.833,16.7,
2026-01-06,2026-01,AMS,handpack,31005L,ORG GF Instant Dandelion Latte 224g Bag,Instant,governed,high,yes,3.0,461,2.75,8.25,167.6,2.794,55.9,
2026-01-06,2026-01,AMS,handpack,31007L,ORG Instant Miraculous Mushrooms AP Latte 224g Bag,Instant,governed,high,yes,3.0,450,2.533,7.6,177.6,2.961,59.2,
2026-01-06,2026-01,AMS,handpack,31008L,ORG Instant French Roast Latte 224g Bag,Instant,governed,high,yes,3.0,446,3.2,9.6,139.4,2.323,46.5,
2026-01-06,2026-01,AMS,handpack,31010L,ORG Instant Hazelnut Latte 224g Bag,Instant,governed,high,yes,3.0,168,3.317,9.95,50.7,0.844,16.9,
2026-01-06,2026-01,AMS,handpack,43116,Dandelion DarkRoast Tagless Tea Bag - 50 Ct,Tea,governed,high,yes,3.0,425,4.583,13.75,92.7,1.545,30.9,
2026-01-06,2026-01,Assembly,,40001L,Herbal Tea Sampler Box - Loose,Sampler,governed,high,yes,2.0,936,8.45,16.9,110.8,1.846,55.4,
2026-01-06,2026-01,Assembly,,40132F,ORG Maca Chocolate DL 25CT Tea Bag AMZN (24pk) - G,Tea,inferred,,yes,3.0,240,2.75,8.25,87.3,1.455,29.1,
2026-01-06,2026-01,Maisa 1,,Clean,Standard Clean,Tea,inferred,,,3.0,0,1.083,3.25,,,,
2026-01-06,2026-01,Maisa 1,,TB110,ORG French Roast Tea Bag Loose - G,Tea bag (intermediate),item-code,,yes,3.0,11000,3.167,9.5,3473.7,57.895,1157.9,
2026-01-06,2026-01,Maisa 1,,TB332,ORG Dandelion Red Chai Tea Bag,Tea bag (intermediate),item-code,,yes,3.0,19628,7.75,23.25,2532.6,42.211,844.2,
2026-01-06,2026-01,Maisa 2+3,,43110,ORG Dandelion Dark Roast 10ct/6pk Tea Bag,Tea,inferred,,yes,5.0,2694,4.333,21.667,621.7,10.362,124.3,
2026-01-06,2026-01,Maisa 2+3,,43220,ORG Dandelion Caramel Nut 10ct/6pk Tea Bag - A,Tea,inferred,,yes,5.0,1500,2.15,10.75,697.7,11.628,139.5,
2026-01-06,2026-01,Maisa 2+3,,CleanA,Clean + Allergen Tests,Tea,inferred,,,5.0,0,0.383,1.917,,,,
2026-01-06,2026-01,Maisa 2+3,,NTB3220,Dandelion Caramel Nut Tagless 6g Tea Bag - A,Tea bag (intermediate),item-code,,yes,2.0,31200,5.683,11.367,5489.7,91.496,2744.9,
2026-01-06,2026-01,Maisa 2+3,,TB311,ORG Dandelion Dark Roast Tea Bag,Tea bag (intermediate),item-code,,yes,2.0,2500,0.7,1.4,3571.4,59.524,1785.7,
